//0
//<Encoding>UTF-8</Encoding>
//File updated on 12/22/2020 08:45
//!! ADJUSTED DATA FILE !!
//WMO ID: NO_WMO_6966HAWAII
//Univ. of Washington ID: 6966
//MBARI ID: 6966HAWAII
//No missing float profiles
//No missing data found
//
//FLOAT VARIABLES:
//Variable	Sensor	Serial number	Comment
//Pressure[dbar]	Sbe41cp	3034	
//Temperature[°C]	Sbe41cp	3034	
//Salinity[pss]	Sbe41cp	3034	
//Sigma_theta[kg/m^3]			Potential density at the sea surface
//Depth[m]			Depth calculated from pressure and latitude
//Oxygen[µmol/kg]	Aanderaa 4330	429	
//OxygenSat[%]			Calculation assumes atmospheric pressure= 1013.25 mbar
//Nitrate[µmol/kg]	ISUS	Lamp#???? APEX Satlantic ISUS #224  wavelengths beyond 370 extrapolated not calculated	
//Chl_a[mg/m^3]			
//Chl_a_corr[mg/m^3]			
//b_bp700[1/m]			
//b_bp_corr[1/m]			
//POC[mmol/m^3]			
//
//QUALITY CONTROLLED DATA CORRECTIONS:
//Measurement	Station	Gain	Offset	Drift
//Oxygen	1	1.0882	0.0000	0.0000
//Nitrate	1	1.0000	-1.4000	1.6000
//Nitrate	17	1.0000	-1.2000	0.0000
//
//Data quality flags: 0=Good, 4=Questionable, 8=Bad, 1=Missing or not inspected 
//Note: all timestamps are in GMT. 
Cruise	Station	Type	mon/day/yr	hh:mm	Lon [°E]	Lat [°N]	QF	Pressure[dbar]	QF	Temperature[°C]	QF	Salinity[pss]	QF	Sigma_theta[kg/m^3]	QF	Depth[m]	QF	Oxygen[µmol/kg]	QF	OxygenSat[%]	QF	Nitrate[µmol/kg]	QF	Chl_a[mg/m^3]	QF	Chl_a_corr[mg/m^3]	QF	b_bp700[1/m]	QF	b_bp_corr[1/m]	QF	POC[mmol/m^3]	QF
NO_WMO_6966HAWAII	1	C	09/01/2011	20:44	201.852	22.788	0	999.28	0	3.9832	0	34.4568	0	27.364	0	990.620	0	37.41	0	11.8	0	43.27	8	-1E+10	1	-1E+10	1	-1E+10	1	-1E+10	1	-1E+10	1
NO_WMO_6966HAWAII	1	C	09/01/2011	20:44	201.852	22.788	0	948.28	0	4.1096	0	34.4338	0	27.332	0	940.176	0	33.62	0	10.7	0	43.32	8	-1E+10	1	-1E+10	1	-1E+10	1	-1E+10	1	-1E+10	1
NO_WMO_6966HAWAII	1	C	09/01/2011	20:44	201.852	22.788	0	898.70	0	4.2498	0	34.3908	0	27.283	0	891.125	0	28.53	0	9.1	0	43.53	8	-1E+10	1	-1E+10	1	-1E+10	1	-1E+10	1	-1E+10	1
NO_WMO_6966HAWAII	1	C	09/01/2011	20:44	201.852	22.788	0	848.27	0	4.3519	0	34.3508	0	27.240	0	841.222	0	23.70	0	7.6	0	43.74	8	-1E+10	1	-1E+10	1	-1E+10	1	-1E+10	1	-1E+10	1
NO_WMO_6966HAWAII	1	C	09/01/2011	20:44	201.852	22.788	0	799.60	0	4.5198	0	34.3042	0	27.184	0	793.048	0	22.09	0	7.1	0	43.39	8	-1E+10	1	-1E+10	1	-1E+10	1	-1E+10	1	-1E+10	1
NO_WMO_6966HAWAII	1	C	09/01/2011	20:44	201.852	22.788	0	749.95	0	4.5648	0	34.2228	0	27.114	0	743.894	0	22.36	0	7.2	0	43.07	8	-1E+10	1	-1E+10	1	-1E+10	1	-1E+10	1	-1E+10	1
NO_WMO_6966HAWAII	1	C	09/01/2011	20:44	201.852	22.788	0	698.42	0	4.8497	0	34.1446	0	27.021	0	692.865	0	32.71	0	10.5	0	41.41	8	-1E+10	1	-1E+10	1	-1E+10	1	-1E+10	1	-1E+10	1
NO_WMO_6966HAWAII	1	C	09/01/2011	20:44	201.852	22.788	0	648.03	0	5.2036	0	34.0925	0	26.939	0	642.954	0	45.54	0	14.8	0	40.15	8	-1E+10	1	-1E+10	1	-1E+10	1	-1E+10	1	-1E+10	1
NO_WMO_6966HAWAII	1	C	09/01/2011	20:44	201.852	22.788	0	599.69	0	5.5830	0	34.0504	0	26.860	0	595.061	0	62.21	0	20.4	0	38.06	8	-1E+10	1	-1E+10	1	-1E+10	1	-1E+10	1	-1E+10	1
NO_WMO_6966HAWAII	1	C	09/01/2011	20:44	201.852	22.788	0	497.76	0	7.5058	0	34.0448	0	26.603	0	494.039	0	112.43	0	38.5	0	29.68	8	-1E+10	1	-1E+10	1	-1E+10	1	-1E+10	1	-1E+10	1
NO_WMO_6966HAWAII	1	C	09/01/2011	20:44	201.852	22.788	0	447.79	0	8.4250	0	34.0397	0	26.463	0	444.496	0	147.20	0	51.4	0	24.72	8	-1E+10	1	-1E+10	1	-1E+10	1	-1E+10	1	-1E+10	1
NO_WMO_6966HAWAII	1	C	09/01/2011	20:44	201.852	22.788	0	397.30	0	9.6866	0	34.0935	0	26.305	0	394.426	0	184.65	0	66.4	0	19.18	8	-1E+10	1	-1E+10	1	-1E+10	1	-1E+10	1	-1E+10	1
NO_WMO_6966HAWAII	1	C	09/01/2011	20:44	201.852	22.788	0	374.27	0	10.7191	0	34.1413	0	26.165	0	371.583	0	195.72	0	71.9	0	15.91	8	-1E+10	1	-1E+10	1	-1E+10	1	-1E+10	1	-1E+10	1
NO_WMO_6966HAWAII	1	C	09/01/2011	20:44	201.852	22.788	0	356.85	0	11.1734	0	34.1686	0	26.105	0	354.303	0	200.08	0	74.3	0	14.69	8	-1E+10	1	-1E+10	1	-1E+10	1	-1E+10	1	-1E+10	1
NO_WMO_6966HAWAII	1	C	09/01/2011	20:44	201.852	22.788	0	242.73	0	14.5196	0	34.3923	0	25.616	0	241.064	0	195.08	0	77.7	0	8.10	8	-1E+10	1	-1E+10	1	-1E+10	1	-1E+10	1	-1E+10	1
NO_WMO_6966HAWAII	1	C	09/01/2011	20:44	201.852	22.788	0	229.08	0	15.2124	0	34.4774	0	25.531	0	227.515	0	195.96	0	79.1	0	6.96	8	-1E+10	1	-1E+10	1	-1E+10	1	-1E+10	1	-1E+10	1
NO_WMO_6966HAWAII	1	C	09/01/2011	20:44	201.852	22.788	0	198.97	0	17.1627	0	34.7480	0	25.291	0	197.625	0	197.32	0	82.9	0	4.44	8	-1E+10	1	-1E+10	1	-1E+10	1	-1E+10	1	-1E+10	1
NO_WMO_6966HAWAII	1	C	09/01/2011	20:44	201.852	22.788	0	125.83	0	21.0552	0	35.2189	0	24.653	0	125.002	0	200.09	0	90.5	0	0.97	8	-1E+10	1	-1E+10	1	-1E+10	1	-1E+10	1	-1E+10	1
NO_WMO_6966HAWAII	1	C	09/01/2011	20:44	201.852	22.788	0	93.50	0	22.7990	0	35.3399	0	24.256	0	92.892	0	215.44	0	100.6	0	0.36	8	-1E+10	1	-1E+10	1	-1E+10	1	-1E+10	1	-1E+10	1
NO_WMO_6966HAWAII	1	C	09/01/2011	20:44	201.852	22.788	0	82.53	0	23.1725	0	35.3337	0	24.143	0	81.995	0	219.73	0	103.2	0	0.37	8	-1E+10	1	-1E+10	1	-1E+10	1	-1E+10	1	-1E+10	1
NO_WMO_6966HAWAII	1	C	09/01/2011	20:44	201.852	22.788	0	30.94	0	25.8476	0	35.2483	0	23.272	0	30.743	0	208.63	0	102.5	0	0.86	8	-1E+10	1	-1E+10	1	-1E+10	1	-1E+10	1	-1E+10	1
NO_WMO_6966HAWAII	1	C	09/01/2011	20:44	201.852	22.788	0	18.52	0	25.8457	0	35.2486	0	23.272	0	18.403	0	207.95	0	102.1	0	0.75	8	-1E+10	1	-1E+10	1	-1E+10	1	-1E+10	1	-1E+10	1
NO_WMO_6966HAWAII	1	C	09/01/2011	20:44	201.852	22.788	0	6.62	0	25.8549	0	35.2509	0	23.270	0	6.578	0	207.79	0	102.1	0	0.96	8	-1E+10	1	-1E+10	1	-1E+10	1	-1E+10	1	-1E+10	1
NO_WMO_6966HAWAII	1	C	09/01/2011	20:44	201.852	22.788	0																										
NO_WMO_6966HAWAII	2	C	09/07/2011	00:36	201.951	22.485	0	999.47	0	3.8740	0	34.4743	0	27.389	0	990.827	0	40.23	0	12.7	0	42.59	0	-1E+10	1	-1E+10	1	-1E+10	1	-1E+10	1	-1E+10	1
NO_WMO_6966HAWAII	2	C	09/07/2011	00:36	201.951	22.485	0	949.61	0	4.0633	0	34.4407	0	27.342	0	941.510	0	34.31	0	10.9	0	42.75	0	-1E+10	1	-1E+10	1	-1E+10	1	-1E+10	1	-1E+10	1
NO_WMO_6966HAWAII	2	C	09/07/2011	00:36	201.951	22.485	0	901.51	0	4.2353	0	34.4152	0	27.304	0	893.923	0	31.03	0	9.9	0	42.47	0	-1E+10	1	-1E+10	1	-1E+10	1	-1E+10	1	-1E+10	1
NO_WMO_6966HAWAII	2	C	09/07/2011	00:36	201.951	22.485	0	851.17	0	4.3677	0	34.3695	0	27.253	0	844.108	0	25.79	0	8.2	0	42.56	0	-1E+10	1	-1E+10	1	-1E+10	1	-1E+10	1	-1E+10	1
NO_WMO_6966HAWAII	2	C	09/07/2011	00:36	201.951	22.485	0	801.77	0	4.3301	0	34.3028	0	27.203	0	795.212	0	20.14	0	6.4	0	42.96	0	-1E+10	1	-1E+10	1	-1E+10	1	-1E+10	1	-1E+10	1
NO_WMO_6966HAWAII	2	C	09/07/2011	00:36	201.951	22.485	0	751.08	0	4.4434	0	34.2587	0	27.156	0	745.027	0	19.50	0	6.2	0	42.99	0	-1E+10	1	-1E+10	1	-1E+10	1	-1E+10	1	-1E+10	1
NO_WMO_6966HAWAII	2	C	09/07/2011	00:36	201.951	22.485	0	701.34	0	4.6574	0	34.1967	0	27.083	0	695.771	0	23.98	0	7.7	0	41.77	0	-1E+10	1	-1E+10	1	-1E+10	1	-1E+10	1	-1E+10	1
NO_WMO_6966HAWAII	2	C	09/07/2011	00:36	201.951	22.485	0	649.50	0	5.1648	0	34.1055	0	26.953	0	644.423	0	41.16	0	13.4	0	39.74	0	-1E+10	1	-1E+10	1	-1E+10	1	-1E+10	1	-1E+10	1
NO_WMO_6966HAWAII	2	C	09/07/2011	00:36	201.951	22.485	0	599.55	0	5.6013	0	34.0687	0	26.872	0	594.935	0	55.96	0	18.3	0	37.84	0	-1E+10	1	-1E+10	1	-1E+10	1	-1E+10	1	-1E+10	1
NO_WMO_6966HAWAII	2	C	09/07/2011	00:36	201.951	22.485	0	549.41	0	6.5089	0	34.0211	0	26.720	0	545.246	0	87.00	0	29.1	0	33.38	0	-1E+10	1	-1E+10	1	-1E+10	1	-1E+10	1	-1E+10	1
NO_WMO_6966HAWAII	2	C	09/07/2011	00:36	201.951	22.485	0	499.00	0	7.4107	0	34.0312	0	26.605	0	495.278	0	116.42	0	39.8	0	29.34	0	-1E+10	1	-1E+10	1	-1E+10	1	-1E+10	1	-1E+10	1
NO_WMO_6966HAWAII	2	C	09/07/2011	00:36	201.951	22.485	0	449.86	0	8.8445	0	34.0728	0	26.425	0	446.558	0	156.41	0	55.2	0	22.94	0	-1E+10	1	-1E+10	1	-1E+10	1	-1E+10	1	-1E+10	1
NO_WMO_6966HAWAII	2	C	09/07/2011	00:36	201.951	22.485	0	398.84	0	10.2175	0	34.1410	0	26.253	0	395.961	0	191.90	0	69.8	0	16.52	0	-1E+10	1	-1E+10	1	-1E+10	1	-1E+10	1	-1E+10	1
NO_WMO_6966HAWAII	2	C	09/07/2011	00:36	201.951	22.485	0	378.86	0	10.6367	0	34.1703	0	26.202	0	376.143	0	200.31	0	73.5	0	15.49	0	-1E+10	1	-1E+10	1	-1E+10	1	-1E+10	1	-1E+10	1
NO_WMO_6966HAWAII	2	C	09/07/2011	00:36	201.951	22.485	0	329.07	0	12.1649	0	34.2508	0	25.985	0	326.749	0	204.13	0	77.4	0	12.05	0	-1E+10	1	-1E+10	1	-1E+10	1	-1E+10	1	-1E+10	1
NO_WMO_6966HAWAII	2	C	09/07/2011	00:36	201.951	22.485	0	319.13	0	12.4623	0	34.2289	0	25.910	0	316.887	0	201.74	0	76.9	0	11.18	0	-1E+10	1	-1E+10	1	-1E+10	1	-1E+10	1	-1E+10	1
NO_WMO_6966HAWAII	2	C	09/07/2011	00:36	201.951	22.485	0	299.96	0	13.1353	0	34.2621	0	25.803	0	297.866	0	196.71	0	76.1	0	9.52	0	-1E+10	1	-1E+10	1	-1E+10	1	-1E+10	1	-1E+10	1
NO_WMO_6966HAWAII	2	C	09/07/2011	00:36	201.951	22.485	0	290.05	0	13.4462	0	34.2932	0	25.764	0	288.032	0	197.41	0	76.9	0	9.21	0	-1E+10	1	-1E+10	1	-1E+10	1	-1E+10	1	-1E+10	1
NO_WMO_6966HAWAII	2	C	09/07/2011	00:36	201.951	22.485	0	280.29	0	14.1217	0	34.3542	0	25.672	0	278.346	0	196.36	0	77.5	0	7.88	0	-1E+10	1	-1E+10	1	-1E+10	1	-1E+10	1	-1E+10	1
NO_WMO_6966HAWAII	2	C	09/07/2011	00:36	201.951	22.485	0	269.53	0	14.5666	0	34.3985	0	25.611	0	267.668	0	196.09	0	78.1	0	7.02	0	-1E+10	1	-1E+10	1	-1E+10	1	-1E+10	1	-1E+10	1
NO_WMO_6966HAWAII	2	C	09/07/2011	00:36	201.951	22.485	0	258.99	0	15.0573	0	34.4458	0	25.541	0	257.207	0	195.00	0	78.5	0	6.61	0	-1E+10	1	-1E+10	1	-1E+10	1	-1E+10	1	-1E+10	1
NO_WMO_6966HAWAII	2	C	09/07/2011	00:36	201.951	22.485	0	209.84	0	16.8057	0	34.6804	0	25.324	0	208.420	0	197.67	0	82.4	0	4.17	0	-1E+10	1	-1E+10	1	-1E+10	1	-1E+10	1	-1E+10	1
NO_WMO_6966HAWAII	2	C	09/07/2011	00:36	201.951	22.485	0	199.72	0	17.3553	0	34.7550	0	25.250	0	198.374	0	196.79	0	83.0	0	3.68	0	-1E+10	1	-1E+10	1	-1E+10	1	-1E+10	1	-1E+10	1
NO_WMO_6966HAWAII	2	C	09/07/2011	00:36	201.951	22.485	0	190.77	0	18.6266	0	34.9437	0	25.082	0	189.488	0	196.04	0	84.7	0	2.21	0	-1E+10	1	-1E+10	1	-1E+10	1	-1E+10	1	-1E+10	1
NO_WMO_6966HAWAII	2	C	09/07/2011	00:36	201.951	22.485	0	178.14	0	19.5152	0	35.0789	0	24.958	0	176.948	0	196.30	0	86.3	0	1.68	0	-1E+10	1	-1E+10	1	-1E+10	1	-1E+10	1	-1E+10	1
NO_WMO_6966HAWAII	2	C	09/07/2011	00:36	201.951	22.485	0	169.90	0	19.8258	0	35.1237	0	24.911	0	168.767	0	197.17	0	87.2	0	1.31	0	-1E+10	1	-1E+10	1	-1E+10	1	-1E+10	1	-1E+10	1
NO_WMO_6966HAWAII	2	C	09/07/2011	00:36	201.951	22.485	0	156.92	0	20.5576	0	35.1991	0	24.774	0	155.878	0	198.96	0	89.2	0	0.66	0	-1E+10	1	-1E+10	1	-1E+10	1	-1E+10	1	-1E+10	1
NO_WMO_6966HAWAII	2	C	09/07/2011	00:36	201.951	22.485	0	149.13	0	20.9874	0	35.2755	0	24.716	0	148.143	0	200.12	0	90.5	0	0.43	0	-1E+10	1	-1E+10	1	-1E+10	1	-1E+10	1	-1E+10	1
NO_WMO_6966HAWAII	2	C	09/07/2011	00:36	201.951	22.485	0	138.45	0	21.8554	0	35.4167	0	24.584	0	137.537	0	201.27	0	92.5	0	-0.25	0	-1E+10	1	-1E+10	1	-1E+10	1	-1E+10	1	-1E+10	1
NO_WMO_6966HAWAII	2	C	09/07/2011	00:36	201.951	22.485	0	128.47	0	22.1776	0	35.4703	0	24.534	0	127.626	0	205.39	0	94.9	0	-0.28	0	-1E+10	1	-1E+10	1	-1E+10	1	-1E+10	1	-1E+10	1
NO_WMO_6966HAWAII	2	C	09/07/2011	00:36	201.951	22.485	0	118.09	0	22.3863	0	35.4672	0	24.472	0	117.317	0	211.13	0	98.0	0	-0.41	0	-1E+10	1	-1E+10	1	-1E+10	1	-1E+10	1	-1E+10	1
NO_WMO_6966HAWAII	2	C	09/07/2011	00:36	201.951	22.485	0	108.83	0	22.6877	0	35.4494	0	24.372	0	108.120	0	214.63	0	100.1	0	-0.37	0	-1E+10	1	-1E+10	1	-1E+10	1	-1E+10	1	-1E+10	1
NO_WMO_6966HAWAII	2	C	09/07/2011	00:36	201.951	22.485	0	99.79	0	22.7107	0	35.3627	0	24.299	0	99.141	0	215.31	0	100.4	0	-0.19	0	-1E+10	1	-1E+10	1	-1E+10	1	-1E+10	1	-1E+10	1
NO_WMO_6966HAWAII	2	C	09/07/2011	00:36	201.951	22.485	0	95.14	0	22.8896	0	35.3848	0	24.264	0	94.523	0	215.94	0	101.0	0	-0.33	0	-1E+10	1	-1E+10	1	-1E+10	1	-1E+10	1	-1E+10	1
NO_WMO_6966HAWAII	2	C	09/07/2011	00:36	201.951	22.485	0	90.17	0	23.2689	0	35.3634	0	24.138	0	89.586	0	217.59	0	102.4	0	-0.35	0	-1E+10	1	-1E+10	1	-1E+10	1	-1E+10	1	-1E+10	1
NO_WMO_6966HAWAII	2	C	09/07/2011	00:36	201.951	22.485	0	85.67	0	23.5024	0	35.3210	0	24.038	0	85.116	0	218.55	0	103.3	0	-0.29	0	-1E+10	1	-1E+10	1	-1E+10	1	-1E+10	1	-1E+10	1
NO_WMO_6966HAWAII	2	C	09/07/2011	00:36	201.951	22.485	0	80.84	0	24.0173	0	35.2928	0	23.865	0	80.318	0	217.62	0	103.7	0	-0.38	0	-1E+10	1	-1E+10	1	-1E+10	1	-1E+10	1	-1E+10	1
NO_WMO_6966HAWAII	2	C	09/07/2011	00:36	201.951	22.485	0	76.60	0	24.2159	0	35.2959	0	23.808	0	76.106	0	219.01	0	104.7	0	-0.12	0	-1E+10	1	-1E+10	1	-1E+10	1	-1E+10	1	-1E+10	1
NO_WMO_6966HAWAII	2	C	09/07/2011	00:36	201.951	22.485	0	71.01	0	24.5917	0	35.2259	0	23.642	0	70.553	0	218.79	0	105.2	0	-0.20	0	-1E+10	1	-1E+10	1	-1E+10	1	-1E+10	1	-1E+10	1
NO_WMO_6966HAWAII	2	C	09/07/2011	00:36	201.951	22.485	0	65.57	0	25.3845	0	35.1779	0	23.364	0	65.149	0	214.70	0	104.6	0	0.01	0	-1E+10	1	-1E+10	1	-1E+10	1	-1E+10	1	-1E+10	1
NO_WMO_6966HAWAII	2	C	09/07/2011	00:36	201.951	22.485	0	60.99	0	25.6212	0	35.2068	0	23.313	0	60.599	0	211.72	0	103.6	0	-0.22	0	-1E+10	1	-1E+10	1	-1E+10	1	-1E+10	1	-1E+10	1
NO_WMO_6966HAWAII	2	C	09/07/2011	00:36	201.951	22.485	0	54.73	0	25.6481	0	35.2116	0	23.308	0	54.380	0	209.66	0	102.6	0	-0.12	0	-1E+10	1	-1E+10	1	-1E+10	1	-1E+10	1	-1E+10	1
NO_WMO_6966HAWAII	2	C	09/07/2011	00:36	201.951	22.485	0	50.11	0	25.6525	0	35.2100	0	23.305	0	49.790	0	209.20	0	102.4	0	-0.15	0	-1E+10	1	-1E+10	1	-1E+10	1	-1E+10	1	-1E+10	1
NO_WMO_6966HAWAII	2	C	09/07/2011	00:36	201.951	22.485	0	44.96	0	25.6673	0	35.2138	0	23.303	0	44.674	0	209.25	0	102.5	0	-0.06	0	-1E+10	1	-1E+10	1	-1E+10	1	-1E+10	1	-1E+10	1
NO_WMO_6966HAWAII	2	C	09/07/2011	00:36	201.951	22.485	0	40.09	0	25.6651	0	35.2091	0	23.300	0	39.835	0	209.23	0	102.4	0	-0.05	0	-1E+10	1	-1E+10	1	-1E+10	1	-1E+10	1	-1E+10	1
NO_WMO_6966HAWAII	2	C	09/07/2011	00:36	201.951	22.485	0	35.34	0	25.6601	0	35.2040	0	23.297	0	35.116	0	209.23	0	102.4	0	0.02	0	-1E+10	1	-1E+10	1	-1E+10	1	-1E+10	1	-1E+10	1
NO_WMO_6966HAWAII	2	C	09/07/2011	00:36	201.951	22.485	0	30.14	0	25.6740	0	35.2025	0	23.291	0	29.949	0	209.10	0	102.4	0	-0.15	0	-1E+10	1	-1E+10	1	-1E+10	1	-1E+10	1	-1E+10	1
NO_WMO_6966HAWAII	2	C	09/07/2011	00:36	201.951	22.485	0	24.94	0	25.6854	0	35.2018	0	23.287	0	24.782	0	208.98	0	102.3	0	-0.13	0	-1E+10	1	-1E+10	1	-1E+10	1	-1E+10	1	-1E+10	1
NO_WMO_6966HAWAII	2	C	09/07/2011	00:36	201.951	22.485	0	20.44	0	25.6937	0	35.2025	0	23.285	0	20.311	0	209.08	0	102.4	0	-0.04	0	-1E+10	1	-1E+10	1	-1E+10	1	-1E+10	1	-1E+10	1
NO_WMO_6966HAWAII	2	C	09/07/2011	00:36	201.951	22.485	0	15.29	0	25.7206	0	35.2018	0	23.275	0	15.194	0	209.05	0	102.4	0	-0.19	0	-1E+10	1	-1E+10	1	-1E+10	1	-1E+10	1	-1E+10	1
NO_WMO_6966HAWAII	2	C	09/07/2011	00:36	201.951	22.485	0	10.67	0	25.7548	0	35.2051	0	23.267	0	10.603	0	208.77	0	102.4	0	-0.19	0	-1E+10	1	-1E+10	1	-1E+10	1	-1E+10	1	-1E+10	1
NO_WMO_6966HAWAII	2	C	09/07/2011	00:36	201.951	22.485	0	6.41	0	25.7780	0	35.2053	0	23.260	0	6.370	0	208.58	0	102.3	0	-0.02	0	-1E+10	1	-1E+10	1	-1E+10	1	-1E+10	1	-1E+10	1
NO_WMO_6966HAWAII	2	C	09/07/2011	00:36	201.951	22.485	0																										
NO_WMO_6966HAWAII	3	C	09/12/2011	04:08	202.198	22.258	0	999.18	0	3.8446	0	34.4780	0	27.394	0	990.555	0	41.07	0	12.9	0	42.35	0	-1E+10	1	-1E+10	1	-1E+10	1	-1E+10	1	-1E+10	1
NO_WMO_6966HAWAII	3	C	09/12/2011	04:08	202.198	22.258	0	950.54	0	4.0030	0	34.4534	0	27.359	0	942.444	0	37.10	0	11.7	0	42.56	0	-1E+10	1	-1E+10	1	-1E+10	1	-1E+10	1	-1E+10	1
NO_WMO_6966HAWAII	3	C	09/12/2011	04:08	202.198	22.258	0	900.83	0	4.1844	0	34.4278	0	27.319	0	893.264	0	33.06	0	10.5	0	42.39	0	-1E+10	1	-1E+10	1	-1E+10	1	-1E+10	1	-1E+10	1
NO_WMO_6966HAWAII	3	C	09/12/2011	04:08	202.198	22.258	0	851.51	0	4.3210	0	34.3973	0	27.280	0	844.457	0	28.70	0	9.1	0	42.24	0	-1E+10	1	-1E+10	1	-1E+10	1	-1E+10	1	-1E+10	1
NO_WMO_6966HAWAII	3	C	09/12/2011	04:08	202.198	22.258	0	801.44	0	4.3630	0	34.3514	0	27.239	0	794.897	0	23.43	0	7.5	0	42.65	0	-1E+10	1	-1E+10	1	-1E+10	1	-1E+10	1	-1E+10	1
NO_WMO_6966HAWAII	3	C	09/12/2011	04:08	202.198	22.258	0	751.24	0	4.3473	0	34.2876	0	27.189	0	745.197	0	19.28	0	6.1	0	42.85	0	-1E+10	1	-1E+10	1	-1E+10	1	-1E+10	1	-1E+10	1
NO_WMO_6966HAWAII	3	C	09/12/2011	04:08	202.198	22.258	0	698.92	0	4.7456	0	34.2197	0	27.092	0	693.384	0	23.39	0	7.5	0	42.05	0	-1E+10	1	-1E+10	1	-1E+10	1	-1E+10	1	-1E+10	1
NO_WMO_6966HAWAII	3	C	09/12/2011	04:08	202.198	22.258	0	651.40	0	5.2025	0	34.1868	0	27.013	0	646.314	0	30.88	0	10.0	0	40.69	0	-1E+10	1	-1E+10	1	-1E+10	1	-1E+10	1	-1E+10	1
NO_WMO_6966HAWAII	3	C	09/12/2011	04:08	202.198	22.258	0	601.66	0	5.4687	0	34.0876	0	26.903	0	597.034	0	48.74	0	15.9	0	38.49	0	-1E+10	1	-1E+10	1	-1E+10	1	-1E+10	1	-1E+10	1
NO_WMO_6966HAWAII	3	C	09/12/2011	04:08	202.198	22.258	0	551.42	0	6.1631	0	34.0464	0	26.785	0	547.246	0	76.06	0	25.2	0	35.02	0	-1E+10	1	-1E+10	1	-1E+10	1	-1E+10	1	-1E+10	1
NO_WMO_6966HAWAII	3	C	09/12/2011	04:08	202.198	22.258	0	501.44	0	7.3313	0	34.0288	0	26.615	0	497.704	0	115.24	0	39.3	0	29.05	0	-1E+10	1	-1E+10	1	-1E+10	1	-1E+10	1	-1E+10	1
NO_WMO_6966HAWAII	3	C	09/12/2011	04:08	202.198	22.258	0	451.43	0	8.5022	0	34.0642	0	26.471	0	448.121	0	152.20	0	53.3	0	23.62	0	-1E+10	1	-1E+10	1	-1E+10	1	-1E+10	1	-1E+10	1
NO_WMO_6966HAWAII	3	C	09/12/2011	04:08	202.198	22.258	0	401.45	0	9.8124	0	34.1188	0	26.304	0	398.555	0	189.54	0	68.3	0	18.08	0	-1E+10	1	-1E+10	1	-1E+10	1	-1E+10	1	-1E+10	1
NO_WMO_6966HAWAII	3	C	09/12/2011	04:08	202.198	22.258	0	379.32	0	10.2675	0	34.1368	0	26.240	0	376.605	0	193.94	0	70.6	0	16.89	0	-1E+10	1	-1E+10	1	-1E+10	1	-1E+10	1	-1E+10	1
NO_WMO_6966HAWAII	3	C	09/12/2011	04:08	202.198	22.258	0	360.90	0	10.8126	0	34.1554	0	26.160	0	358.333	0	198.32	0	73.0	0	15.11	0	-1E+10	1	-1E+10	1	-1E+10	1	-1E+10	1	-1E+10	1
NO_WMO_6966HAWAII	3	C	09/12/2011	04:08	202.198	22.258	0	351.58	0	11.2527	0	34.1680	0	26.090	0	349.087	0	198.75	0	73.9	0	14.18	0	-1E+10	1	-1E+10	1	-1E+10	1	-1E+10	1	-1E+10	1
NO_WMO_6966HAWAII	3	C	09/12/2011	04:08	202.198	22.258	0	341.05	0	11.6215	0	34.1855	0	26.036	0	338.640	0	198.10	0	74.2	0	13.26	0	-1E+10	1	-1E+10	1	-1E+10	1	-1E+10	1	-1E+10	1
NO_WMO_6966HAWAII	3	C	09/12/2011	04:08	202.198	22.258	0	330.95	0	11.7762	0	34.1952	0	26.015	0	328.619	0	198.14	0	74.5	0	12.88	0	-1E+10	1	-1E+10	1	-1E+10	1	-1E+10	1	-1E+10	1
NO_WMO_6966HAWAII	3	C	09/12/2011	04:08	202.198	22.258	0	321.35	0	12.1572	0	34.2111	0	25.955	0	319.094	0	197.92	0	75.0	0	11.94	0	-1E+10	1	-1E+10	1	-1E+10	1	-1E+10	1	-1E+10	1
NO_WMO_6966HAWAII	3	C	09/12/2011	04:08	202.198	22.258	0	310.77	0	12.3026	0	34.2211	0	25.935	0	308.597	0	198.71	0	75.5	0	11.67	0	-1E+10	1	-1E+10	1	-1E+10	1	-1E+10	1	-1E+10	1
NO_WMO_6966HAWAII	3	C	09/12/2011	04:08	202.198	22.258	0	301.18	0	12.6851	0	34.2455	0	25.879	0	299.081	0	198.68	0	76.1	0	10.72	0	-1E+10	1	-1E+10	1	-1E+10	1	-1E+10	1	-1E+10	1
NO_WMO_6966HAWAII	3	C	09/12/2011	04:08	202.198	22.258	0	291.06	0	12.9684	0	34.2604	0	25.835	0	289.038	0	198.42	0	76.5	0	10.01	0	-1E+10	1	-1E+10	1	-1E+10	1	-1E+10	1	-1E+10	1
NO_WMO_6966HAWAII	3	C	09/12/2011	04:08	202.198	22.258	0	281.46	0	13.5279	0	34.3026	0	25.755	0	279.511	0	197.72	0	77.1	0	8.91	0	-1E+10	1	-1E+10	1	-1E+10	1	-1E+10	1	-1E+10	1
NO_WMO_6966HAWAII	3	C	09/12/2011	04:08	202.198	22.258	0	271.48	0	13.9471	0	34.3407	0	25.697	0	269.607	0	197.62	0	77.7	0	8.16	0	-1E+10	1	-1E+10	1	-1E+10	1	-1E+10	1	-1E+10	1
